date	type	amount	product	surface	status	evidence_ref	notes
2026-06-02	reserve	900	bank	self	planned	user_to_confirm	Protected reserve; agent must not access or spend.
2026-06-02	risk_budget	100	ops_card	self	planned	user_to_confirm	Maximum initial operating loss until revenue clears.
2026-06-02	product_version	0	macro_narrative_starter	local	v0.1	products/macro_narrative_starter/README.md	Initial product scaffold.
2026-06-02	product_sample	0	macro_narrative_starter	local	built	products/macro_narrative_starter/samples/fomc_sample_rows.tsv	Fetched 8 real FOMC statement sample rows.
2026-06-02	qa	0	macro_narrative_starter	local	pass	products/macro_narrative_starter/scripts/qa_sample.py	QA PASS on sample rows.
2026-06-02	chart	0	macro_narrative_starter	local	built	products/macro_narrative_starter/charts/fomc_term_counts.svg	First proof chart generated.
2026-06-02	checkout_live	0	macro_narrative_starter	gumroad	live	https://yipengster7.gumroad.com/l/macro-narrative-starter	Gumroad product URL wired into site.
2026-06-02	paid_product_built	0	macro_narrative_starter	local	v1_ready	products/macro_narrative_starter/paid_bundle/macro_narrative_starter_v1.zip	Built real v1 paid bundle: 87 FOMC statements/minutes, scores, notebook, QA, charts.
2026-06-02	site_update	0	macro_narrative_starter	github_pages	v1_copy_ready	docs/index.html	Live site copy updated from sample starter to real v1 product.
2026-06-02	paid_product_upgrade	0	macro_narrative_starter	local	v1_1_premium_ready	products/macro_narrative_starter/paid_bundle/macro_narrative_starter_v1_1_premium_research_kit.zip	Upgraded to $390-value positioning: engineered feature store, regime timeline, 12 signal recipes, prompt pack, playbook, memo template, premium notebook, QA script.
2026-06-02	site_update	0	macro_narrative_starter	github_pages	v1_1_premium_copy_ready	docs/index.html	Landing page updated to $39 launch deal for Premium Signal Kit v1.1.
2026-06-02	paid_product_upgrade	0	macro_narrative_starter	local	v1_2_10x_ready	products/macro_narrative_starter/paid_bundle/macro_narrative_starter_v1_2_10x_research_accelerator.zip	Upgraded to 10x-value bundle: 41 files, $570+ replacement-value stack, start-here guide, validation checklist, ROI calculator, experiment ledger, example memos, mini dashboard, non-coder guide.
2026-06-02	site_update	0	macro_narrative_starter	github_pages	v1_2_10x_copy_ready	docs/index.html	Landing page updated to $39 10x Research Accelerator positioning with $570+ value stack.
2026-06-02	checkout_update	0	macro_narrative_starter	gumroad	v1_2_uploaded	https://yipengster7.gumroad.com/l/macro-narrative-starter	Gumroad product updated: free sample version retained, paid 10x Research Accelerator v1.2 version added at $39 with uploaded 695KB zip.
2026-06-02	paid_product_upgrade	0	macro_narrative_starter	local	v1_3_backtesting_ready	products/macro_narrative_starter/paid_bundle/macro_narrative_starter_v1_3_backtesting_research_accelerator.zip	Upgraded to backtesting-useful bundle: 58 files, event-study backtester, no-key Yahoo price fetcher, market proxy map, backtest configs, validation/OOS/DBMF-aware ledger, $1090+ replacement-value stack.
2026-06-02	checkout_update	0	macro_narrative_starter	gumroad	v1_3_uploaded_paid_version_49_free_sample_retained	https://yipengster7.gumroad.com/l/macro-narrative-starter	Existing Gumroad SKU updated: title Macro Narrative Backtesting Research Accelerator, free sample retained at $0, paid v1.3 backtesting bundle uploaded as $49 version.
